paper_id,year,topic,intervention_or_exposure,study_type,species,sample_size,primary_endpoint,endpoint_class,effect_size,evidence_level,risk_of_bias,actionability,medical_supervision,recommendation_class,claim_supported,claim_not_supported,zh_summary,en_summary,last_checked,quality_confidence_score,influence_score,venue_tier,venue_score,venue_weight_note,journal_metric_value,confidence_cap_rule,scoring_version
pubmed-33395631,2021,心肺适能与死亡风险,fitness / VO2max,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-33680500,2021,心肺适能与死亡风险,fitness / VO2max,systematic_review_or_meta_analysis,needs_review,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,low,false,Monitor,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能把非人体结果直接解释为已证实的人类延寿作用。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-31115827,2019,心肺适能与死亡风险,fitness / VO2max,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Workplace-based physical activity interventions consisting of at least moderate-intensity activity improve cardiorespiratory fitness. At the present time, we surmise that no single group of employees (e.g. older employees or less fit individuals) can be definitively identified as standing to benefit more from workplace physical activity interventions than others. This demonstrates the potential utility of workplace physical activity interventions for improving cardiorespiratory fitness in a b...","Draft status: automatically prepared; not fully reviewed; not medical advice. Workplace-based physical activity interventions consisting of at least moderate-intensity activity improve cardiorespiratory fitness. At the present time, we surmise that no single group of employees (e.g. older employees or less fit individuals) can be definitively identified as standing to benefit more from workplace physical activity interventions than others. This demonstrates the potential utility of workplace physical activity interventions for improving cardiorespiratory fitness in a broad range of healthy employees. Protocol registration: PROSPERO (registration number: 42017057498).",2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-27299747,2017,心肺适能与死亡风险,fitness / VO2max,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：The multidisciplinary treatment of people with SMI should include a focus on improving fitness to reduce all-cause mortality. Qualified healthcare professionals supporting people with SMI in maintaining an active lifestyle should be included as part of multidisciplinary teams in mental health treatment.,Draft status: automatically prepared; not fully reviewed; not medical advice. The multidisciplinary treatment of people with SMI should include a focus on improving fitness to reduce all-cause mortality. Qualified healthcare professionals supporting people with SMI in maintaining an active lifestyle should be included as part of multidisciplinary teams in mental health treatment.,2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-26446894,2016,心肺适能与死亡风险,fitness / VO2max,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Depression symptom severity is inversely correlated with CRF, and this correlation is stronger in men than in women. Clinical and prognostic implications of the correlation are discussed. These findings should stimulate further research on the effects of treating one variable on the other.","Draft status: automatically prepared; not fully reviewed; not medical advice. Depression symptom severity is inversely correlated with CRF, and this correlation is stronger in men than in women. Clinical and prognostic implications of the correlation are discussed. These findings should stimulate further research on the effects of treating one variable on the other.",2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-24144531,2014,心肺适能与死亡风险,fitness / VO2max,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：HIIT significantly increases CRF by almost double that of MICT in patients with lifestyle-induced chronic diseases.,Draft status: automatically prepared; not fully reviewed; not medical advice. HIIT significantly increases CRF by almost double that of MICT in patients with lifestyle-induced chronic diseases.,2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-39955964,2025,抗阻训练、肌肉与衰弱,resistance training / muscle,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「抗阻训练、肌肉与衰弱」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：While protein supplementation combined with exercise shows promising effects on muscle mass and strength in older adults with sarcopenia or physical frailty, the evidence quality was consistently rated as very low. Further high-quality trials are needed to establish optimal supplementation strategies.","Draft status: automatically prepared; not fully reviewed; not medical advice. While protein supplementation combined with exercise shows promising effects on muscle mass and strength in older adults with sarcopenia or physical frailty, the evidence quality was consistently rated as very low. Further high-quality trials are needed to establish optimal supplementation strategies.",2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-41213414,2025,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Endurance should be considered the most effective exercise to improve oxygen consumption in healthy older adults, followed by combined exercise. Given the importance of the VO₂ peak as a predictor of quality of life and mortality in older adults, it is essential to include its assessment in clinical guidelines and prioritize the most effective physical activity interventions to enhance it.","Draft status: automatically prepared; not fully reviewed; not medical advice. Endurance should be considered the most effective exercise to improve oxygen consumption in healthy older adults, followed by combined exercise. Given the importance of the VO₂ peak as a predictor of quality of life and mortality in older adults, it is essential to include its assessment in clinical guidelines and prioritize the most effective physical activity interventions to enhance it.",2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-37607565,2024,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：There is evidence that exercise may benefit the mental health of individuals with lung cancer, including improvements in depression symptoms and quality of life, based on the intervention studies reviewed here. Given the heterogeneity in findings, however, additional randomized controlled trials are needed to augment the existing findings. Nevertheless, there appears to be sufficient evidence for now to encourage primary care physicians to recommend exercise for patients with lung cancer, whi...","Draft status: automatically prepared; not fully reviewed; not medical advice. There is evidence that exercise may benefit the mental health of individuals with lung cancer, including improvements in depression symptoms and quality of life, based on the intervention studies reviewed here. Given the heterogeneity in findings, however, additional randomized controlled trials are needed to augment the existing findings. Nevertheless, there appears to be sufficient evidence for now to encourage primary care physicians to recommend exercise for patients with lung cancer, while offering guidelines on how to gradually and safely increase physical activity depending on the patient's health status.",2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-34913530,2022,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-36270901,2022,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Physical activity and exercise capacity measures were associated with mortality risk in people with interstitial lung disease. Most studies used the six-minute walk test and more evidence is needed on the other measures (i.e., VO2, work and physical activity time). Personalized interventions to improve physical activity and exercise capacity should be considered to delay premature mortality in people with interstitial lung disease.","Draft status: automatically prepared; not fully reviewed; not medical advice. Physical activity and exercise capacity measures were associated with mortality risk in people with interstitial lung disease. Most studies used the six-minute walk test and more evidence is needed on the other measures (i.e., VO2, work and physical activity time). Personalized interventions to improve physical activity and exercise capacity should be considered to delay premature mortality in people with interstitial lung disease.",2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-34489362,2022,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-34560198,2021,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：The present study indicates that combined aerobic and resistance exercise can significantly reduce BP in postmenopausal women. Accordingly, combined aerobic and resistance exercise may be an effective way to prevent and manage hypertension in postmenopausal women.","Draft status: automatically prepared; not fully reviewed; not medical advice. The present study indicates that combined aerobic and resistance exercise can significantly reduce BP in postmenopausal women. Accordingly, combined aerobic and resistance exercise may be an effective way to prevent and manage hypertension in postmenopausal women.",2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-33571958,2021,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-32744860,2020,血压与健康寿命,blood pressure,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「血压与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-29135318,2018,LDL-C/apoB 与心血管风险,LDL-C / apoB,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「LDL-C/apoB 与心血管风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Although further studies are needed, our findings clearly offer support to the use of anacetrapib in the clinical management of patients with dyslipidemia.","Draft status: automatically prepared; not fully reviewed; not medical advice. Although further studies are needed, our findings clearly offer support to the use of anacetrapib in the clinical management of patients with dyslipidemia.",2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-41297371,2026,睡眠与健康结局,sleep,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「睡眠与健康结局」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-32951475,2021,睡眠与健康结局,sleep,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「睡眠与健康结局」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,85,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-40338834,2025,心肺适能与死亡风险,fitness / VO2max,human_cohort,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 B 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Higher levels of adolescent cardiorespiratory fitness were associated with lower overall cancer mortality in late adulthood, a finding that persisted in sibling comparisons. However, the influence of unobserved familial confounding appeared to vary by cancer type and be more pronounced for cancer diagnoses than for mortality. This may suggest a need for robust causal methods to triangulate results, rather than relying on correlations alone, to better inform public health efforts.","Draft status: automatically prepared; not fully reviewed; not medical advice. Higher levels of adolescent cardiorespiratory fitness were associated with lower overall cancer mortality in late adulthood, a finding that persisted in sibling comparisons. However, the influence of unobserved familial confounding appeared to vary by cancer type and be more pronounced for cancer diagnoses than for mortality. This may suggest a need for robust causal methods to triangulate results, rather than relying on correlations alone, to better inform public health efforts.",2026-05-12,84,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-39286322,2024,心肺适能与死亡风险,fitness / VO2max,human_cohort,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 B 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Among men under the age of 35 years, longitudinal change in run times was associated with the risk of cardiovascular disease two decades onwards.","Draft status: automatically prepared; not fully reviewed; not medical advice. Among men under the age of 35 years, longitudinal change in run times was associated with the risk of cardiovascular disease two decades onwards.",2026-05-12,84,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-35103994,2022,心肺适能与死亡风险,fitness / VO2max,human_cohort,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 B 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Cardiorespiratory fitness modifies the risk of death related to prediabetes and diabetes. This highlights the importance of CRF assessment and interventions to support the uptake of regular physical activity among aging men with disturbed glucose metabolism.,Draft status: automatically prepared; not fully reviewed; not medical advice. Cardiorespiratory fitness modifies the risk of death related to prediabetes and diabetes. This highlights the importance of CRF assessment and interventions to support the uptake of regular physical activity among aging men with disturbed glucose metabolism.,2026-05-12,84,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-35365507,2022,心肺适能与死亡风险,fitness / VO2max,human_cohort,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 B 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：This study suggests that, for patients with type 2 diabetes at a normal weight, distinct approaches are needed in terms of promoting muscle mass improvement or cardiorespiratory fitness, rather than maintaining weight status. Improved early diagnosis considering the inverse association between BMI and mortality is also needed.","Draft status: automatically prepared; not fully reviewed; not medical advice. This study suggests that, for patients with type 2 diabetes at a normal weight, distinct approaches are needed in terms of promoting muscle mass improvement or cardiorespiratory fitness, rather than maintaining weight status. Improved early diagnosis considering the inverse association between BMI and mortality is also needed.",2026-05-12,84,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-33951071,2021,心肺适能与死亡风险,fitness / VO2max,human_cohort,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 B 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：While eCRF was not significantly associated with testing positive for COVID-19, we observed a significant dose-response between having higher eCRF and a decreased risk of dying from COVID-19. This suggests that prior gains in CRF could be protective against dying from COVID-19 should someone develop the virus.","Draft status: automatically prepared; not fully reviewed; not medical advice. While eCRF was not significantly associated with testing positive for COVID-19, we observed a significant dose-response between having higher eCRF and a decreased risk of dying from COVID-19. This suggests that prior gains in CRF could be protective against dying from COVID-19 should someone develop the virus.",2026-05-12,84,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-33259526,2020,心肺适能与死亡风险,fitness / VO2max,human_cohort,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 B 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：CRF declined from 1970 through the 2000s in a cohort of apparently healthy men and women which was associated with worsening CVD risk profiles. However, the decline in CRF was attenuated over the past decade which may have a positive impact on future CVD in the population. Promoting physical activity to increase CRF should be a primary aspect of CVD prevention programs.","Draft status: automatically prepared; not fully reviewed; not medical advice. CRF declined from 1970 through the 2000s in a cohort of apparently healthy men and women which was associated with worsening CVD risk profiles. However, the decline in CRF was attenuated over the past decade which may have a positive impact on future CVD in the population. Promoting physical activity to increase CRF should be a primary aspect of CVD prevention programs.",2026-05-12,84,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-31270954,2019,心肺适能与死亡风险,fitness / VO2max,human_cohort,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 B 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,84,0,B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
