target_id,domain,name_zh,name_en,aliases,total_publication_query,query,pubmed_total_count_20y,pubmed_retracted_count_20y,retraction_rate_percent,retractions_per_1000_publications,retrieved_pmids,error,last_checked
ceramides,口服/补剂,神经酰胺,Ceramides,Ceramides,"(""Ceramides""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Ceramides""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",135,0,0.000,0.00,,,2026-09-21
niacinamide,口服/补剂,烟酰胺,Niacinamide,Niacinamide,"(""Niacinamide""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Niacinamide""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",49,0,0.000,0.00,,,2026-09-21
vitamin-b12,口服/补剂,维生素 B12,Vitamin B12,vitamin B12; cobalamin,"(""vitamin B12""[Title] OR ""cobalamin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""vitamin B12""[Title] OR ""cobalamin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",3149,2,0.064,0.64,38421889;23902646,,2026-09-21
folate,口服/补剂,叶酸,Folate,Folate,"(""Folate""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Folate""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",3871,3,0.077,0.77,38718938;23937678;22468673,,2026-09-21
multivitamin,口服/补剂,复合维生素,Multivitamin,Multivitamin,"(""Multivitamin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Multivitamin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",499,1,0.200,2.00,25115164,,2026-09-21
vitamin-e,口服/补剂,维生素 E,Vitamin E,Vitamin E,"(""Vitamin E""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Vitamin E""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",2959,6,0.203,2.03,35586814;35237342;35000160;31089253;29804469;28847198,,2026-09-21
vitamin-a,口服/补剂,维生素 A,Vitamin A,Vitamin A,"(""Vitamin A""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Vitamin A""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",2888,5,0.173,1.73,35804266;35685731;35071591;34217246;22854406,,2026-09-21
vitamin-k2,口服/补剂,维生素 K2,Vitamin K2,vitamin K2; menaquinone,"(""vitamin K2""[Title] OR ""menaquinone""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""vitamin K2""[Title] OR ""menaquinone""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",320,3,0.938,9.38,24975215;19499964;17190100,,2026-09-21
selenium,口服/补剂,硒,Selenium,Selenium,"(""Selenium""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Selenium""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",7553,7,0.093,0.93,39342340;37245338;36388536;35723386;35586814;30057015;25231122,,2026-09-21
iodine,口服/补剂,碘,Iodine,Iodine,"(""Iodine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Iodine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",4881,6,0.123,1.23,36755777;26353858;24446669;24895501;19725779;17199437,,2026-09-21
iron,口服/补剂,铁,Iron,Iron,"(""Iron""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Iron""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",22262,42,0.189,1.89,41572815;38876422;38560133;38173374;36226302;36096173;35795277;35421099;35299084;35071591;34995308;34492849;33938360;32741833;32698792;32614844;35025360;32223474;32218586;32096669;31514541;31477792;30464757;30323700;30304441;29843553;29338568;28901214;28073037;27894198;27483303;27269410;26715522;26037728;25643259;23286295;23029172;22745539;22051236;21187917;19725757;17029598,,2026-09-21
copper,口服/补剂,铜,Copper,Copper,"(""Copper""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Copper""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",5759,19,0.330,3.30,40715258;38876422;38452479;37692067;36864348;35917103;33938360;33740180;33706171;33409152;32669563;32614844;30247074;30168446;29589240;25963145;21319953;21221660;17585902,,2026-09-21
manganese,口服/补剂,锰,Manganese,Manganese,"(""Manganese""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Manganese""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1997,2,0.100,1.00,30304441;25039075,,2026-09-21
chromium,口服/补剂,铬,Chromium,Chromium,"(""Chromium""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Chromium""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1828,9,0.492,4.92,38125608;37809394;37478726;35421180;34995308;32695901;30524820;22033423;18165437,,2026-09-21
potassium,口服/补剂,钾,Potassium,Potassium,"(""Potassium""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Potassium""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",4018,7,0.174,1.74,37423467;35609063;35143535;31484832;30099113;28050281;26302666,,2026-09-21
electrolytes,口服/补剂,电解质,Electrolytes,Electrolytes,"(""Electrolytes""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Electrolytes""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",232,0,0.000,0.00,,,2026-09-21
psyllium,口服/补剂,车前子壳/可溶性纤维,Psyllium / Soluble Fiber,psyllium; soluble fiber; soluble fibre,"(""psyllium""[Title] OR ""soluble fiber""[Title] OR ""soluble fibre""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""psyllium""[Title] OR ""soluble fiber""[Title] OR ""soluble fibre""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",319,0,0.000,0.00,,,2026-09-21
beta-glucan,口服/补剂,β-葡聚糖,Beta-Glucan,beta glucan; beta-glucan,"(""beta glucan""[Title] OR ""beta-glucan""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""beta glucan""[Title] OR ""beta-glucan""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1008,1,0.099,0.99,32520965,,2026-09-21
inulin,口服/补剂,菊粉,Inulin,Inulin,"(""Inulin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Inulin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1216,2,0.164,1.64,30503580;29636277,,2026-09-21
prebiotic-mix,口服/补剂,益生元复合物,Prebiotic Mix,prebiotic; prebiotics,"(""prebiotic""[Title] OR ""prebiotics""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""prebiotic""[Title] OR ""prebiotics""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",2487,2,0.080,0.80,35669168;21891907,,2026-09-21
lutein,口服/补剂,叶黄素,Lutein,Lutein,"(""Lutein""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Lutein""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",847,2,0.236,2.36,41573009;27222156,,2026-09-21
zeaxanthin,口服/补剂,玉米黄质,Zeaxanthin,Zeaxanthin,"(""Zeaxanthin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Zeaxanthin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",350,1,0.286,2.86,41573009,,2026-09-21
lycopene,口服/补剂,番茄红素,Lycopene,Lycopene,"(""Lycopene""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Lycopene""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1168,2,0.171,1.71,25487946;21625550,,2026-09-21
