finding_id,candidate_id,pmid,doi,title_en,topic_id,study_type,species,previous_level,decision,reason,retired_date,recovery_source
finding-pubmed-34009711,pubmed-34009711,34009711,10.1111/dom.14440,Safety and effectiveness of metformin in patients with reduced renal function: A systematic review.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34091441,pubmed-34091441,34091441,10.18632/aging.202891,E2F2 inhibition induces autophagy via the PI3K/Akt/mTOR pathway in gastric cancer.,rapamycin-mtor-aging,mechanistic_or_cell_study,cell,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34105233,pubmed-34105233,34105233,10.1111/acel.13417,Advanced maternal age causes premature placental senescence and malformation via dysregulated α-Klotho expression in trophoblasts.,klotho-il11-aging,animal_study,mouse,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34144086,pubmed-34144086,34144086,10.1016/j.diabres.2021.108921,GLP-1 receptor agonists for cardiovascular outcomes with and without metformin. A systematic review and meta-analysis of cardiovascular outcomes trials.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34186056,pubmed-34186056,34186056,10.1016/j.kint.2021.06.013,Primary results of the randomized trial of metformin administration in polycystic kidney disease (TAME PKD).,metformin-aging,human_randomized_or_clinical_trial,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34238308,pubmed-34238308,34238308,10.1186/s12970-021-00442-4,"Nicotinamide mononucleotide supplementation enhances aerobic capacity in amateur runners: a randomized, double-blind study.",nad-nmn-nr-aging,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34250734,pubmed-34250734,34250734,10.1111/acel.13431,mTORC2: The other mTOR in autophagy regulation.,rapamycin-mtor-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34264392,pubmed-34264392,34264392,10.1007/s00432-021-03728-x,The role of metformin on lung cancer survival: the first systematic review and meta-analysis of observational studies and randomized clinical trials.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34358827,pubmed-34358827,34358827,10.1016/j.clnu.2021.06.024,"Supplement-based nutritional strategies to tackle frailty: A multifactorial, double-blind, randomized placebo-controlled trial.",resistance-training-muscle,human_randomized_or_clinical_trial,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34393755,pubmed-34393755,34393755,10.3389/fnagi.2021.674071,Insights Into Parkin-Mediated Mitophagy in Alzheimer's Disease: A Systematic Review.,autophagy-mitophagy,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34482522,pubmed-34482522,34482522,10.1007/s11357-021-00438-7,DNA methylation age analysis of rapamycin in common marmosets.,rapamycin-mtor-aging,animal_study,mouse,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34539972,pubmed-34539972,34539972,10.1155/2021/7536614,Understanding the Stony Bridge between Osteoporosis and Vascular Calcification: Impact of the FGF23/Klotho axis.,klotho-il11-aging,narrative_review,needs_review,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34543887,pubmed-34543887,34543887,10.1016/j.ctarc.2021.100457,A systematic review and meta-analysis on the efficacy and safety of metformin as adjunctive therapy among women with metastatic breast cancer.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34556498,pubmed-34556498,34556498,10.2215/CJN.05020421,Soluble Klotho and Incident Hypertension.,klotho-il11-aging,metadata_only_needs_classification,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34620743,pubmed-34620743,34620743,10.1097/CAD.0000000000001254,Effect of metformin use on the risk and prognosis of colorectal cancer in diabetes mellitus: a meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34624437,pubmed-34624437,34624437,10.1016/j.bbamcr.2021.119135,The role of proteolysis in interleukin-11 signaling.,klotho-il11-aging,narrative_review,human,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34626279,pubmed-34626279,34626279,10.1007/s10529-021-03191-1,Biological synthesis of nicotinamide mononucleotide.,nad-nmn-nr-aging,narrative_review,cell,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34660791,pubmed-34660791,34660791,10.1155/2021/5311828,The Impact of Metformin Use with Survival Outcomes in Urologic Cancers: A Systematic Review and Meta-Analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34684434,pubmed-34684434,34684434,10.3390/nu13103435,Nicotinamide Riboside for the Prevention and Treatment of Doxorubicin Cardiomyopathy. Opportunities and Prospects.,nad-nmn-nr-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34705249,pubmed-34705249,34705249,10.1007/s40292-021-00479-1,Glucagon-like Peptide-1 Receptor Agonists and Cardioprotective Benefit in Patients with Type 2 Diabetes Without Baseline Metformin: A Systematic Review and Update Meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34711629,pubmed-34711629,34711629,10.1158/1055-9965.EPI-21-0766,Gut Microbiome-Dependent Metabolic Pathways and Risk of Lethal Prostate Cancer: Prospective Analysis of a PLCO Cancer Screening Trial Cohort.,microbiome-inflammaging,human_randomized_or_clinical_trial,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34737707,pubmed-34737707,34737707,10.3389/fphar.2021.755366,Klotho as Potential Autophagy Regulator and Therapeutic Target.,klotho-il11-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34866305,pubmed-34866305,34866305,10.1002/iub.2584,The key role of the NAD biosynthetic enzyme nicotinamide mononucleotide adenylyltransferase in regulating cell functions.,nad-nmn-nr-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34867481,pubmed-34867481,34867481,10.3389/fphys.2021.775029,Fibroblast Growth Factor-23-Klotho Axis in Cardiorenal Syndrome: Mediators and Potential Therapeutic Targets.,klotho-il11-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-34951702,pubmed-34951702,34951702,10.1002/jpen.2319,"Effect of dietary fiber on gut barrier function, gut microbiota, short-chain fatty acids, inflammation, and clinical outcomes in critically ill patients: A systematic review and meta-analysis.",microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35002982,pubmed-35002982,35002982,10.3389/fendo.2021.811776,Association of Preadmission Metformin Use and Prognosis in Patients With Sepsis and Diabetes Mellitus: A Systematic Review and Meta-Analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35025762,pubmed-35025762,35025762,10.1172/JCI139828,Boosting NAD+ blunts TLR4-induced type I IFN in control and systemic lupus erythematosus monocytes.,nad-nmn-nr-aging,animal_study,animal,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35027502,pubmed-35027502,35027502,10.18632/aging.203826,Gut microbiota in patients with Alzheimer's disease spectrum: a systematic review and meta-analysis.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35056905,pubmed-35056905,35056905,10.3390/pharmaceutics14010011,Klotho and Mesenchymal Stem Cells: A Review on Cell and Gene Therapy for Chronic Kidney Disease and Acute Kidney Disease.,klotho-il11-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35098970,pubmed-35098970,35098970,10.14283/jpad.2021.62,Senolytic Therapy to Modulate the Progression of Alzheimer's Disease (SToMP-AD): A Pilot Clinical Trial.,senolytics,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35119137,pubmed-35119137,35119137,10.1002/jbmr.4518,"Analysis of the Associations Between the Human Fecal Microbiome and Bone Density, Structure, and Strength: The Osteoporotic Fractures in Men (MrOS) Cohort.",microbiome-inflammaging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35122284,pubmed-35122284,35122284,10.1111/bcp.15258,Does metformin affect outcomes in COVID-19 patients with new or pre-existing diabetes mellitus? A systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35154625,pubmed-35154625,35154625,10.1177/2040622320940176,The prognostic value of soluble Klotho in patients with haemodialysis: a systematic review and meta-analysis.,klotho-il11-aging,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35171074,pubmed-35171074,35171074,10.1080/09638288.2022.2037744,Effectiveness of physical exercise at improving functional capacity in older adults living with Alzheimer's disease: a systematic review of randomized controlled trials.,physical-activity-healthspan,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_capacity_limit,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35189169,pubmed-35189169,35189169,10.1016/j.ijcard.2022.02.021,Serum Klotho and pulse pressure; insight from NHANES.,klotho-il11-aging,metadata_only_needs_classification,human,E,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35218870,pubmed-35218870,35218870,10.1016/j.neuint.2022.105311,mTOR signaling as a molecular target for the alleviation of Alzheimer's disease pathogenesis.,rapamycin-mtor-aging,narrative_review,human,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35220641,pubmed-35220641,35220641,10.1111/jocd.14888,Modulation of autophagy by an innovative phytocosmetic preparation (Myrothamnus flabelifolia and Coffea arabica) in human fibroblasts and its effects in a clinical randomized placebo-controlled trial.,autophagy-mitophagy,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35235774,pubmed-35235774,35235774,10.1016/j.cmet.2022.02.001,The NADPARK study: A randomized phase I trial of nicotinamide riboside supplementation in Parkinson's disease.,nad-nmn-nr-aging,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35242730,pubmed-35242730,35242730,10.3389/fpubh.2022.756318,Biannual Administrations of Azithromycin and the Gastrointestinal Microbiome of Malawian Children: A Nested Cohort Study Within a Randomized Controlled Trial.,microbiome-inflammaging,human_randomized_or_clinical_trial,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35263739,pubmed-35263739,35263739,10.1159/000522381,Is There Any Link between Cognitive Impairment and Gut Microbiota? A Systematic Review.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35272698,pubmed-35272698,35272698,10.1186/s40001-022-00654-7,"Serum cystatin C, kidney injury molecule-1, neutrophil gelatinase-associated lipocalin, klotho and fibroblast growth factor-23 in the early prediction of acute kidney injury associated with sepsis in a Chinese emergency cohort study.",klotho-il11-aging,human_cohort,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35303905,pubmed-35303905,35303905,10.1186/s12986-022-00653-9,Effects of NAD+ precursor supplementation on glucose and lipid metabolism in humans: a meta-analysis.,nad-nmn-nr-aging,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35321338,pubmed-35321338,35321338,10.3389/fendo.2022.810914,Metformin Use in Relation to Clinical Outcomes and Hyperinflammatory Syndrome Among COVID-19 Patients With Type 2 Diabetes: A Propensity Score Analysis of a Territory-Wide Cohort.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35327507,pubmed-35327507,35327507,10.3390/biomedicines10030705,Klotho an Autophagy Stimulator as a Potential Therapeutic Target for Alzheimer's Disease: A Review.,klotho-il11-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35348578,pubmed-35348578,35348578,10.1093/ajcn/nqac074,Gut microbiota-derived metabolite trimethylamine-N-oxide and multiple health outcomes: an umbrella review and updated meta-analysis.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35365572,pubmed-35365572,35365572,10.1136/gutjnl-2021-326076,Interleukin-11 drives human and mouse alcohol-related liver disease.,klotho-il11-aging,mixed_human_and_animal_study,mixed_human_animal,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35406007,pubmed-35406007,35406007,10.3390/nu14071394,Effect of Serum Spermidine on the Prognosis in Patients with Acute Myocardial Infarction: A Cohort Study.,autophagy-mitophagy,human_cohort,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35410255,pubmed-35410255,35410255,10.1186/s12931-022-02001-0,Evaluation for clinical benefit of metformin in patients with idiopathic pulmonary fibrosis and type 2 diabetes mellitus: a national claims-based cohort analysis.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35416188,pubmed-35416188,35416188,10.1039/d1fo03958j,The effect of quercetin on diabetic nephropathy (DN): a systematic review and meta-analysis of animal studies.,senolytics,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35479740,pubmed-35479740,35479740,10.3389/fnut.2022.868640,Oral Administration of Nicotinamide Mononucleotide Is Safe and Efficiently Increases Blood Nicotinamide Adenine Dinucleotide Levels in Healthy Subjects.,nad-nmn-nr-aging,animal_study,mouse,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35562576,pubmed-35562576,35562576,10.1038/s41598-022-12007-9,The vaginal microbiome and the risk of preterm birth: a systematic review and network meta-analysis.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35602513,pubmed-35602513,35602513,10.3389/fmed.2022.803016,The Role of Alterations in Alpha-Klotho and FGF-23 in Kidney Transplantation and Kidney Donation.,klotho-il11-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35605236,pubmed-35605236,35605236,10.7326/M21-4012,Cardiovascular Outcomes in Patients Initiating First-Line Treatment of Type 2 Diabetes With Sodium-Glucose Cotransporter-2 Inhibitors Versus Metformin : A Cohort Study.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35608580,pubmed-35608580,35608580,10.1001/jama.2022.6147,Effect of Metformin vs Placebo on Invasive Disease-Free Survival in Patients With Breast Cancer: The MA.32 Randomized Clinical Trial.,metformin-aging,human_randomized_or_clinical_trial,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35700594,pubmed-35700594,35700594,10.1016/j.nut.2022.111706,Taurine as a possible antiaging therapy: A controlled clinical trial on taurine antioxidant activity in women ages 55 to 70.,autophagy-mitophagy,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35726110,pubmed-35726110,35726110,10.1007/s10741-022-10254-6,The heart and gut relationship: a systematic review of the evaluation of the microbiome and trimethylamine-N-oxide (TMAO) in heart failure.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35730144,pubmed-35730144,35730144,10.1111/acel.13658,Nicotinamide riboside and caffeine partially restore diminished NAD availability but not altered energy metabolism in Alzheimer's disease.,nad-nmn-nr-aging,mechanistic_or_cell_study,cell,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35766483,pubmed-35766483,35766483,10.1128/spectrum.00013-22,Meta-Analysis of Altered Gut Microbiota Reveals Microbial and Metabolic Biomarkers for Colorectal Cancer.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35807835,pubmed-35807835,35807835,10.3390/nu14132654,Gut Microbiota-Derived Metabolites and Cardiovascular Disease Risk: A Systematic Review of Prospective Cohort Studies.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35872753,pubmed-35872753,35872753,10.3389/fmed.2022.904963,Low Klotho/Fibroblast Growth Factor 23 Ratio Is an Independent Risk Factor for Renal Progression in Chronic Kidney Disease: Finding From KNOW-CKD.,klotho-il11-aging,metadata_only_needs_classification,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35893737,pubmed-35893737,35893737,10.3390/ph15080912,"Immunomodulatory and Antiaging Mechanisms of Resveratrol, Rapamycin, and Metformin: Focus on mTOR and AMPK Signaling Networks.",rapamycin-mtor-aging,animal_study,animal,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35906886,pubmed-35906886,35906886,10.1111/acel.13680,Sirt1 overexpression improves senescence-associated pulmonary fibrosis induced by vitamin D deficiency through downregulating IL-11 transcription.,klotho-il11-aging,animal_study,mouse,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35918544,pubmed-35918544,35918544,10.1007/s00018-022-04499-5,Balancing NAD(+) deficits with nicotinamide riboside: therapeutic possibilities and limitations.,nad-nmn-nr-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35918855,pubmed-35918855,35918855,10.1002/ptr.7569,The construction of preclinical evidence for the treatment of liver fibrosis with quercetin: A systematic review and meta-analysis.,senolytics,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35950572,pubmed-35950572,35950572,10.1080/01635581.2022.2108468,Colorectal Cancer and Microbiota Modulation for Clinical Use. A Systematic Review.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35961277,pubmed-35961277,35961277,10.1016/j.dsx.2022.102586,The effects of medicinal herbs on gut microbiota and metabolic factors in obesity models: A systematic review.,microbiome-inflammaging,systematic_review_or_meta_analysis,needs_review,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35977879,pubmed-35977879,35977879,10.1002/jcsm.13064,Biomarkers associated with lower limb muscle function in individuals with sarcopenia: a systematic review.,resistance-training-muscle,systematic_review_or_meta_analysis,human,A,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-35992176,pubmed-35992176,35992176,10.3389/fcimb.2022.875225,Efficacy and safety of herbal formulas with the function of gut microbiota regulation for gastric and colorectal cancer: A systematic review and meta-analysis.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36002548,pubmed-36002548,36002548,10.1038/s41598-022-18272-y,Safety evaluation of β-nicotinamide mononucleotide oral administration in healthy adult men and women.,nad-nmn-nr-aging,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36038662,pubmed-36038662,36038662,10.1038/s41388-022-02440-5,The role of α-klotho in human cancer: molecular and clinical aspects.,klotho-il11-aging,narrative_review,human,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36079752,pubmed-36079752,36079752,10.3390/nu14173494,"The Therapeutic Relevance of Urolithins, Intestinal Metabolites of Ellagitannin-Rich Food: A Systematic Review of In Vivo Studies.",autophagy-mitophagy,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36095197,pubmed-36095197,36095197,10.1073/pnas.2204083119,Tissue-restricted inhibition of mTOR using chemical genetics.,rapamycin-mtor-aging,mechanistic_or_cell_study,cell,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36110206,pubmed-36110206,36110206,10.3389/fgene.2022.970699,Recent advances of the mammalian target of rapamycin signaling in mesenchymal stem cells.,rapamycin-mtor-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36120844,pubmed-36120844,36120844,10.1002/iub.2667,"Stem cell genes in atheromatosis: The role of Klotho, HIF1α, OCT4, and BMP4.",klotho-il11-aging,narrative_review,human,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36219044,pubmed-36219044,36219044,10.36849/JDD.6870,A Narrative Review of Nicotinamide Adenine Dinucleotide (NAD)+ Intermediates Nicotinamide Riboside and Nicotinamide Mononucleotide for Keratinocyte Carcinoma Risk Reduction.,nad-nmn-nr-aging,narrative_review,human,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36227441,pubmed-36227441,36227441,10.1007/s10557-022-07382-4,The HF-AF ENERGY Trial: Nicotinamide Riboside for the Treatment of Atrial Fibrillation in Heart Failure Patients.,nad-nmn-nr-aging,metadata_only_needs_classification,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36235542,pubmed-36235542,36235542,10.3390/nu14193889,Emerging Role of Nicotinamide Riboside in Health and Diseases.,nad-nmn-nr-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36242694,pubmed-36242694,36242694,10.1007/s11357-022-00663-8,Oral frailty indicators to target major adverse health-related outcomes in older age: a systematic review.,resistance-training-muscle,systematic_review_or_meta_analysis,human,A,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36243333,pubmed-36243333,36243333,10.1016/j.phrs.2022.106504,The effects of fisetin on bone and cartilage: A systematic review.,senolytics,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36253904,pubmed-36253904,36253904,10.1097/TP.0000000000004331,The Value of Klotho in Kidney Transplantation.,klotho-il11-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36266389,pubmed-36266389,36266389,10.1038/s41598-022-22123-1,A systematic review and meta-analysis demonstrating Klotho as an emerging exerkine.,klotho-il11-aging,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36272640,pubmed-36272640,36272640,10.1016/j.phrs.2022.106520,"The effect of microbiome-modulating probiotics, prebiotics and synbiotics on glucose homeostasis in type 2 diabetes: A systematic review, meta-analysis, and meta-regression of clinical trials.",microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36280839,pubmed-36280839,36280839,10.1186/s12916-022-02599-4,Efficacy of metformin therapy in patients with cancer: a meta-analysis of 22 randomised controlled trials.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36281624,pubmed-36281624,36281624,10.1111/acel.13733,Metformin has heterogeneous effects on model organism lifespans and is beneficial when started at an early age in Caenorhabditis elegans: A systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36287641,pubmed-36287641,36287641,10.1093/ije/dyac200,Reassessing the evidence of a survival advantage in Type 2 diabetes treated with metformin compared with controls without diabetes: a retrospective cohort study.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36314202,pubmed-36314202,36314202,10.3233/JAD-220571,Circulating Klotho Is Higher in Cerebrospinal Fluid than Serum and Elevated Among KLOTHO Heterozygotes in a Cohort with Risk for Alzheimer's Disease.,klotho-il11-aging,human_cohort,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36349647,pubmed-36349647,36349647,10.1016/j.arr.2022.101773,Comparison between frail and non-frail older adults' gut microbiota: A systematic review and meta-analysis.,resistance-training-muscle,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36510042,pubmed-36510042,36510042,10.1007/s40266-022-00989-0,"Importance of NAD+ Anabolism in Metabolic, Cardiovascular and Neurodegenerative Disorders.",nad-nmn-nr-aging,narrative_review,human,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-36515353,pubmed-36515353,36515353,10.1111/acel.13754,Oral nicotinamide riboside raises NAD+ and lowers biomarkers of neurodegenerative pathology in plasma extracellular vesicles enriched for neuronal origin.,nad-nmn-nr-aging,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
